size,num_layers,l_dim,epoch,batch,dropout,bn,dist,best_auc,best_ep,seed
32,3,8,500,8192,0,0,l2,0.90752,119,30
32,3,8,500,8192,0,0,cos,0.90857,44,30
64,3,8,500,8192,0,0,l2,0.90659,16,30
64,3,8,500,8192,0,0,cos,0.90651,20,30
32,3,10,500,8192,0,0,l2,0.91151,31,30
32,3,10,500,8192,0,0,cos,0.91453,20,30
64,3,10,500,8192,0,0,l2,0.91339,492,30
64,3,10,500,8192,0,0,cos,0.91527,492,30
32,3,27,500,8192,0,0,l2,0.89513,20,30
32,3,27,500,8192,0,0,cos,0.90272,16,30
64,3,27,500,8192,0,0,l2,0.91810,12,30
64,3,27,500,8192,0,0,cos,0.92005,12,30
32,3,32,500,8192,0,0,l2,0.90144,14,30
32,3,32,500,8192,0,0,cos,0.90268,14,30
64,3,32,500,8192,0,0,l2,0.90706,498,30
64,3,32,500,8192,0,0,cos,0.90961,423,30
32,3,1,500,8192,0,0,l2,0.89722,234,40
32,3,1,500,8192,0,0,cos,0.89672,91,40
64,3,1,500,8192,0,0,l2,0.90667,210,40
64,3,1,500,8192,0,0,cos,0.90313,216,40
32,3,2,500,8192,0,0,l2,0.91387,91,40
32,3,2,500,8192,0,0,cos,0.91003,82,40
64,3,2,500,8192,0,0,l2,0.91162,150,40
64,3,2,500,8192,0,0,cos,0.91047,137,40
32,3,5,500,8192,0,0,l2,0.90443,56,40
32,3,5,500,8192,0,0,cos,0.90259,53,40
64,3,5,500,8192,0,0,l2,0.90778,411,40
64,3,5,500,8192,0,0,cos,0.90805,411,40
32,3,8,500,8192,0,0,l2,0.89583,470,40
32,3,8,500,8192,0,0,cos,0.89831,470,40
64,3,8,500,8192,0,0,l2,0.91503,11,40
64,3,8,500,8192,0,0,cos,0.91789,11,40
32,3,10,500,8192,0,0,l2,0.90214,23,40
32,3,10,500,8192,0,0,cos,0.89942,68,40
64,3,10,500,8192,0,0,l2,0.90173,257,40
64,3,10,500,8192,0,0,cos,0.90477,9,40
32,3,27,500,8192,0,0,l2,0.90923,16,40
32,3,27,500,8192,0,0,cos,0.91309,16,40
64,3,27,500,8192,0,0,l2,0.90387,400,40
64,3,27,500,8192,0,0,cos,0.90658,476,40
64,3,32,500,8192,0,0,l2,0.90593,366,40
64,3,32,500,8192,0,0,cos,0.90986,8,40
32,3,32,500,8192,0,0,l2,0.91733,15,40
32,3,32,500,8192,0,0,cos,0.91440,15,40
64,3,1,500,8192,0,0,l2,0.91413,482,50
64,3,1,500,8192,0,0,cos,0.91349,159,50
32,3,1,500,8192,0,0,l2,0.91199,461,50
32,3,1,500,8192,0,0,cos,0.91240,468,50
64,3,2,500,8192,0,0,l2,0.91004,50,50
64,3,2,500,8192,0,0,cos,0.90901,50,50
32,3,2,500,8192,0,0,l2,0.91072,120,50
32,3,2,500,8192,0,0,cos,0.91296,90,50
32,3,5,500,8192,0,0,l2,0.89723,293,50
32,3,5,500,8192,0,0,cos,0.89766,284,50
64,3,5,500,8192,0,0,l2,0.90734,12,50
64,3,5,500,8192,0,0,cos,0.90450,12,50
32,3,8,500,8192,0,0,l2,0.91242,19,50
32,3,8,500,8192,0,0,cos,0.90899,406,50
64,3,8,500,8192,0,0,l2,0.90823,15,50
64,3,8,500,8192,0,0,cos,0.90909,17,50
32,3,10,500,8192,0,0,l2,0.90177,419,50
32,3,10,500,8192,0,0,cos,0.90283,419,50
64,3,10,500,8192,0,0,l2,0.90895,15,50
64,3,10,500,8192,0,0,cos,0.91051,15,50
32,3,27,500,8192,0,0,l2,0.90461,107,50
32,3,27,500,8192,0,0,cos,0.90411,107,50
64,3,27,500,8192,0,0,l2,0.89996,210,50
64,3,27,500,8192,0,0,cos,0.90543,8,50
32,3,32,500,8192,0,0,l2,0.91243,20,50
32,3,32,500,8192,0,0,cos,0.91076,19,50
64,3,32,500,8192,0,0,l2,0.90434,265,50
64,3,32,500,8192,0,0,cos,0.90732,493,50
128,2,6,500,8192,0,0,l2,0.90938,40,10
128,2,6,500,8192,0,0,cos,0.90945,43,10
128,2,7,500,8192,0,0,l2,0.91691,18,10
128,2,7,500,8192,0,0,cos,0.91533,18,10
128,2,9,500,8192,0,0,l2,0.91071,88,10
128,2,9,500,8192,0,0,cos,0.90934,107,10
128,2,6,500,8192,0,0,l2,0.90955,471,20
128,2,6,500,8192,0,0,cos,0.91135,14,20
128,2,7,500,8192,0,0,l2,0.90848,381,20
128,2,7,500,8192,0,0,cos,0.90970,381,20
128,2,9,500,8192,0,0,l2,0.90218,497,20
128,2,9,500,8192,0,0,cos,0.90386,497,20
128,2,6,500,8192,0,0,l2,0.91306,11,30
128,2,6,500,8192,0,0,cos,0.91298,11,30
128,2,7,500,8192,0,0,l2,0.90894,11,30
128,2,7,500,8192,0,0,cos,0.91396,10,30
128,2,9,500,8192,0,0,l2,0.91610,9,30
128,2,9,500,8192,0,0,cos,0.91974,8,30
128,2,6,500,8192,0,0,l2,0.90102,474,40
128,2,6,500,8192,0,0,cos,0.90282,474,40
128,2,7,500,8192,0,0,l2,0.91162,12,40
128,2,7,500,8192,0,0,cos,0.91105,12,40
128,2,9,500,8192,0,0,l2,0.90941,294,40
128,2,9,500,8192,0,0,cos,0.91045,294,40
128,2,6,500,8192,0,0,l2,0.90537,24,50
128,2,6,500,8192,0,0,cos,0.90822,23,50
128,2,7,500,8192,0,0,l2,0.90674,11,50
128,2,7,500,8192,0,0,cos,0.90722,11,50
128,2,9,500,8192,0,0,l2,0.90772,478,50
128,2,9,500,8192,0,0,cos,0.91008,387,50
128,2,3,500,8192,0,0,l2,0.90227,173,40
128,2,3,500,8192,0,0,cos,0.89663,181,40
128,2,3,500,8192,0,0,l2,0.91669,40,20
128,2,3,500,8192,0,0,cos,0.91362,37,20
128,2,3,500,8192,0,0,l2,0.90678,46,30
128,2,3,500,8192,0,0,cos,0.90385,39,30
128,2,3,500,8192,0,0,l2,0.90066,25,50
128,2,3,500,8192,0,0,cos,0.90144,25,50
128,2,4,500,8192,0,0,l2,0.90400,181,40
128,2,4,500,8192,0,0,cos,0.90594,30,40
128,2,4,500,8192,0,0,l2,0.91908,33,20
128,2,4,500,8192,0,0,cos,0.92051,52,20
128,2,4,500,8192,0,0,l2,0.90379,361,50
128,2,4,500,8192,0,0,cos,0.90443,343,50
128,2,4,500,8192,0,0,l2,0.90558,102,30
128,2,4,500,8192,0,0,cos,0.90690,103,30
128,2,3,500,8192,0,0,l2,0.91806,63,10
128,2,3,500,8192,0,0,cos,0.91562,63,10
128,2,4,500,8192,0,0,l2,0.90924,470,10
128,2,4,500,8192,0,0,cos,0.91054,48,10
